сыр а	[(0, 3, 'B-TYPE'), (4, 5, 'I-TYPE')]
моркрвь	[(0, 7, 'B-TYPE')]
грибы	[(0, 5, 'B-TYPE')]
сьёс	[(0, 4, 'B-TYPE')]
albenia	[(0, 7, 'B-BRAND')]
мусульманская	[(0, 13, 'B-TYPE')]
пенал феникс	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
стельки eva	[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
орио	[(0, 4, 'B-BRAND')]
вода	[(0, 4, 'B-TYPE')]
энергетики	[(0, 10, 'B-TYPE')]
посудомй	[(0, 8, 'B-TYPE')]
сельдь-	[(0, 7, 'B-TYPE')]
хрумка0	[(0, 7, 'B-TYPE')]
пр!ст цикорич	[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]
крем лля рук	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 12, 'O')]
сосиски филе	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
сосискиии	[(0, 9, 'B-TYPE')]
fruttis	[(0, 7, 'B-BRAND')]
если фамильные	[(0, 4, 'O'), (5, 14, 'B-BRAND')]
шаурмуа	[(0, 7, 'B-TYPE')]
салат руккола	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
кефир 1%	[(0, 5, 'B-TYPE'), (6, 8, 'B-PERCENT')]
nesto	[(0, 5, 'B-BRAND')]
смесь для выпечки	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE'), (10, 17, 'I-TYPE')]
пр!ст гигиенически	[(0, 5, 'B-BRAND'), (6, 18, 'B-TYPE')]
сметану	[(0, 7, 'B-TYPE')]
морожено4	[(0, 9, 'B-TYPE')]
стопры, защел	[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
молоков	[(0, 7, 'B-TYPE')]
хачапури с курицей	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
отматов	[(0, 7, 'B-TYPE')]
сме перца	[(0, 3, 'O'), (4, 9, 'O')]
vileda совк	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
компотоная	[(0, 10, 'B-TYPE')]
green ray	[(0, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
пылесосы pionee	[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]
морсь	[(0, 5, 'B-TYPE')]
greenfiel	[(0, 9, 'B-BRAND')]
стэл	[(0, 4, 'B-BRAND')]
бритвы, триммер	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
ъзельцы	[(0, 7, 'B-TYPE')]
люминарк круж	[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
трансформер	[(0, 11, 'B-TYPE')]
тимьян kotany	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
всеслав галеты	[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
kisa	[(0, 4, 'B-BRAND')]
hatber пластилина	[(0, 6, 'B-BRAND'), (7, 17, 'B-TYPE')]
скумбри	[(0, 7, 'B-TYPE')]
бадья	[(0, 5, 'B-TYPE')]
сухарь	[(0, 6, 'B-TYPE')]
чебурица	[(0, 8, 'B-TYPE')]
скоровар	[(0, 8, 'B-TYPE')]
соус к свинине	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
абриклс	[(0, 7, 'B-TYPE')]
жедэлудки	[(0, 9, 'B-TYPE')]
вермут martini	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
arctic	[(0, 6, 'B-BRAND')]
напалнитель	[(0, 11, 'B-TYPE')]
сельдь слабо соленая	[(0, 6, 'B-TYPE'), (7, 12, 'O'), (13, 20, 'O')]
сосискки	[(0, 8, 'B-TYPE')]
сливочное	[(0, 9, 'B-TYPE')]
пшено селяночка	[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]
шафран kami	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
гарчица	[(0, 7, 'B-TYPE')]
goodnix	[(0, 7, 'B-BRAND')]
яец	[(0, 3, 'B-TYPE')]
столы садовые	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
куро	[(0, 4, 'B-TYPE')]
соус брусничный	[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE')]
голубина	[(0, 8, 'B-TYPE')]
филе цыпленка	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
приправа для швшлыка	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
кофе капсулы	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
стики	[(0, 5, 'B-TYPE')]
гнижка	[(0, 6, 'B-TYPE')]
тетрадь ольдена	[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]
оигурт	[(0, 6, 'B-TYPE')]
соковая продукци	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
легкий сыр	[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
прочие фруктово-овощные	[(0, 6, 'B-TYPE'), (7, 23, 'I-TYPE')]
скумбрмя	[(0, 8, 'B-TYPE')]
манказ	[(0, 6, 'B-TYPE')]
чечевица сте	[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
яблоеи	[(0, 6, 'B-TYPE')]
стекломой комфор	[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]
boreal	[(0, 6, 'B-BRAND')]
limpopo бумаги	[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
сидр vasileosrovsk	[(0, 4, 'B-TYPE'), (5, 18, 'B-BRAND')]
фрутомотив	[(0, 10, 'B-BRAND')]
канфетф	[(0, 7, 'B-TYPE')]
mox	[(0, 3, 'B-BRAND')]
папа может	[(0, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
сырнй	[(0, 5, 'B-TYPE')]
рафаело	[(0, 7, 'B-BRAND')]
мешочки для продуктов	[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 21, 'O')]
запеченные большемясо	[(0, 10, 'B-TYPE'), (11, 21, 'B-BRAND')]
чана	[(0, 4, 'B-TYPE')]
риис	[(0, 4, 'B-TYPE')]
оспежитель	[(0, 10, 'B-TYPE')]
прсок	[(0, 5, 'B-TYPE')]
напольное покрыт	[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]
ваоенье	[(0, 7, 'B-TYPE')]
перци	[(0, 5, 'B-TYPE')]
трусы cascatt	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
goodmiks	[(0, 8, 'B-BRAND')]
пельмении	[(0, 9, 'B-TYPE')]
wolfthron	[(0, 9, 'B-BRAND')]
напитки диабетическ	[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]
лоч	[(0, 3, 'O')]
хлеб коломенский	[(0, 4, 'B-TYPE'), (5, 16, 'I-TYPE')]
пудинг frutt	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
вялажные	[(0, 8, 'B-TYPE')]
редиака	[(0, 7, 'B-TYPE')]
чесночно майонезный соус	[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE'), (20, 24, 'I-TYPE')]
сахарощаменитель	[(0, 16, 'B-TYPE')]
туалетная влажная	[(0, 9, 'B-TYPE'), (10, 17, 'I-TYPE')]
корнишонф	[(0, 9, 'B-TYPE')]
лососевая икра	[(0, 9, 'B-TYPE'), (10, 14, 'I-TYPE')]
бытовые принадлежности	[(0, 7, 'B-TYPE'), (8, 22, 'I-TYPE')]
прочее мы	[(0, 6, 'B-TYPE'), (7, 9, 'I-TYPE')]
эссен	[(0, 5, 'B-BRAND')]
нори	[(0, 4, 'B-TYPE')]
селедку	[(0, 7, 'B-TYPE')]
очки verso	[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]
мор4овка	[(0, 8, 'B-TYPE')]
мажитель	[(0, 8, 'B-BRAND')]
ягненок	[(0, 7, 'B-TYPE')]
щелковхлеб	[(0, 10, 'B-TYPE')]
помидорные	[(0, 10, 'B-TYPE')]
пластырь	[(0, 8, 'B-TYPE')]
пелленки	[(0, 8, 'B-TYPE')]
минердка	[(0, 8, 'B-TYPE')]
дезидорант	[(0, 10, 'B-TYPE')]
круглозерый	[(0, 11, 'B-TYPE')]
водоррсл	[(0, 8, 'B-TYPE')]
прочие натуральны	[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE')]
корм для стерилизованных котов	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 24, 'O'), (25, 30, 'O')]
bohemia салатник	[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
вяленаяр	[(0, 8, 'O')]
капуста papadimitri	[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]
консервы	[(0, 8, 'B-TYPE')]
айа	[(0, 3, 'B-TYPE')]
утк	[(0, 3, 'B-TYPE')]
крабова	[(0, 7, 'B-TYPE')]
лапмпочка	[(0, 9, 'B-TYPE')]
зерна	[(0, 5, 'B-TYPE')]
пятновыводители biom	[(0, 15, 'B-TYPE'), (16, 20, 'B-BRAND')]
печеночная	[(0, 10, 'B-TYPE')]
кимчи	[(0, 5, 'B-TYPE')]
капусат	[(0, 7, 'B-TYPE')]
arivari	[(0, 7, 'B-BRAND')]
филе куриное охлажденное	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 24, 'O')]
рвсяный	[(0, 7, 'B-TYPE')]
огрурцв	[(0, 7, 'B-TYPE')]
mamell	[(0, 6, 'B-BRAND')]
опрошка	[(0, 7, 'B-TYPE')]
кто-нибудь вельмонт	[(0, 10, 'O'), (11, 19, 'B-BRAND')]
лапшп	[(0, 5, 'B-TYPE')]
петрушкк	[(0, 8, 'B-TYPE')]
сушк	[(0, 4, 'B-TYPE')]
бульйон	[(0, 7, 'B-TYPE')]
галантере	[(0, 9, 'B-TYPE')]
прочие овощ	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
крышка econta	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
диффузора №	[(0, 9, 'B-TYPE'), (10, 11, 'B-BRAND')]
яйчная	[(0, 6, 'B-TYPE')]
бекону	[(0, 6, 'B-TYPE')]
масло льняное	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
средство доя стекл	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
кардам	[(0, 6, 'B-TYPE')]
нф обложки	[(0, 2, 'B-BRAND'), (3, 10, 'B-TYPE')]
вода туалетная	[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]
красное mika	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
трородный	[(0, 9, 'B-TYPE')]
ополаскиватель aquarius	[(0, 14, 'B-TYPE'), (15, 23, 'B-BRAND')]
пилы дисков	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
сардельки унипром	[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
aquafresh	[(0, 9, 'B-BRAND')]
пекан	[(0, 5, 'B-TYPE')]
шампиньоны красная цена	[(0, 10, 'B-TYPE'), (11, 18, 'O'), (19, 23, 'O')]
ам	[(0, 2, 'O')]
корнишонв	[(0, 9, 'B-TYPE')]
кукурузнве	[(0, 10, 'B-TYPE')]
телек	[(0, 5, 'B-TYPE')]
карандашом	[(0, 10, 'B-TYPE')]
плюшка московская	[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE')]
бумажные салфетки	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
маёнез	[(0, 6, 'B-TYPE')]
зерновр	[(0, 7, 'B-TYPE')]
сухой корм мираторг	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE'), (11, 19, 'B-BRAND')]
крышка перекрест	[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
масло сливовное	[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]
хллеб	[(0, 5, 'B-TYPE')]
грудинуа	[(0, 8, 'B-TYPE')]
крендели с солью	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
мягкая игруш	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
свёкла маринованная	[(0, 6, 'B-TYPE'), (7, 19, 'I-TYPE')]
гольфы minim	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
мелков мульти-пуль	[(0, 6, 'B-TYPE'), (7, 18, 'B-BRAND')]
сырокопчнй	[(0, 10, 'O')]
соивочное	[(0, 9, 'B-TYPE')]
детская каша	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
picni	[(0, 5, 'B-BRAND')]
одноразовые пеленк	[(0, 11, 'B-TYPE'), (12, 18, 'I-TYPE')]
солф	[(0, 4, 'B-TYPE')]
тиксы	[(0, 5, 'B-BRAND')]
дрожжр	[(0, 6, 'B-TYPE')]
эмунели	[(0, 7, 'B-BRAND')]
птица морожена	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
кексу	[(0, 5, 'B-TYPE')]
равиолло вареник	[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
тыквеный	[(0, 8, 'B-TYPE')]
винн	[(0, 4, 'B-TYPE')]
бутылка	[(0, 7, 'B-TYPE')]
фруте	[(0, 5, 'B-TYPE')]
феникс фона	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
кабачок черкашин	[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]
boombbar	[(0, 8, 'B-BRAND')]
колбасок окраи	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
производство дын	[(0, 12, 'B-BRAND'), (13, 16, 'B-TYPE')]
крекером	[(0, 8, 'B-TYPE')]
удаление ск	[(0, 8, 'B-TYPE'), (9, 11, 'I-TYPE')]
охлажденное перекресток	[(0, 11, 'B-TYPE'), (12, 23, 'B-BRAND')]
набор чайная	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
пастилка cem	[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
гранавт	[(0, 7, 'B-TYPE')]
говядина красная цена	[(0, 8, 'B-TYPE'), (9, 16, 'O'), (17, 21, 'O')]
сковороды, сотейники	[(0, 10, 'B-TYPE'), (11, 20, 'I-TYPE')]
замороженный	[(0, 12, 'B-TYPE')]
гель для, стирки	[(0, 4, 'B-TYPE'), (5, 9, 'O'), (10, 16, 'O')]
пастилка mariqui	[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]
цыпленокэ	[(0, 9, 'B-TYPE')]
колбаски cherkizov	[(0, 8, 'B-TYPE'), (9, 18, 'B-BRAND')]
слущенка	[(0, 8, 'B-TYPE')]
boun без	[(0, 4, 'B-BRAND'), (5, 8, 'O')]
корицей производств	[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]
кисло-сладкий	[(0, 13, 'B-TYPE')]
косметички primani	[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND')]
барокколи	[(0, 9, 'B-TYPE')]
горошек ромашкин	[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]
безмол	[(0, 6, 'B-TYPE')]
dingo	[(0, 5, 'B-BRAND')]
яйаца	[(0, 5, 'B-TYPE')]
иахито	[(0, 6, 'B-TYPE')]
energy	[(0, 6, 'B-TYPE')]
пододеялники	[(0, 12, 'B-TYPE')]
горршею	[(0, 7, 'B-TYPE')]
гророх	[(0, 6, 'B-TYPE')]
razzbery	[(0, 8, 'B-TYPE')]
цитрон	[(0, 6, 'B-TYPE')]
кукурцз	[(0, 7, 'B-TYPE')]
картошки	[(0, 8, 'B-TYPE')]
гашлык	[(0, 6, 'B-TYPE')]
кофейник bodum	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
римблоек	[(0, 8, 'B-TYPE')]
помидооы	[(0, 8, 'B-TYPE')]
петрохлеб калачи	[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]
сливу	[(0, 5, 'B-TYPE')]
зонты city	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
торт полярный	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
пшентчная	[(0, 9, 'B-TYPE')]
рисовая мука	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
venetta	[(0, 7, 'B-BRAND')]
биг ланч	[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]
сардины ба	[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]
сыр с поесенью	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 14, 'O')]
маккроны	[(0, 8, 'B-TYPE')]
жвавка	[(0, 6, 'B-TYPE')]
лимонг	[(0, 6, 'B-TYPE')]
коржи самотлор	[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
фрукты замороженные	[(0, 6, 'B-TYPE'), (7, 19, 'I-TYPE')]
масло оливковое	[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]
итальянские травы	[(0, 11, 'B-TYPE'), (12, 17, 'I-TYPE')]
грилем pione	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
пшено шебекинск	[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]
laplandia	[(0, 9, 'B-BRAND')]
шоколад аленка	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
сметана кубанский молочник	[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND'), (18, 26, 'I-BRAND')]
пиряники	[(0, 8, 'B-TYPE')]
мучн смес	[(0, 4, 'O'), (5, 9, 'O')]
халвав	[(0, 6, 'B-TYPE')]
с пылу с	[(0, 1, 'O'), (2, 6, 'O'), (7, 8, 'O')]
котлетя	[(0, 7, 'B-TYPE')]
нутртоак	[(0, 8, 'B-TYPE')]
курятин	[(0, 7, 'B-TYPE')]
крылашк	[(0, 7, 'B-TYPE')]
нуга petra	[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]
морожкное	[(0, 9, 'B-TYPE')]
гречке	[(0, 6, 'B-TYPE')]
сок детский без сахара	[(0, 3, 'B-TYPE'), (4, 11, 'O'), (12, 15, 'O'), (16, 22, 'O')]
минеральных	[(0, 11, 'B-TYPE')]
сапожки leg	[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
жигулевское	[(0, 11, 'B-BRAND')]
макароны шебе	[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
семечки подсолнечника	[(0, 7, 'B-TYPE'), (8, 21, 'I-TYPE')]
голубцы пан	[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
юбилкйное	[(0, 9, 'B-TYPE')]
котлета для бу	[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 14, 'O')]
boombar	[(0, 7, 'B-BRAND')]
almett	[(0, 6, 'B-BRAND')]
карташка	[(0, 8, 'B-TYPE')]
крупка гречневая	[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]
apy ople	[(0, 3, 'O'), (4, 8, 'O')]
стаукан	[(0, 7, 'B-TYPE')]
канфеьы	[(0, 7, 'B-TYPE')]
коржи самотл	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
шеба	[(0, 4, 'B-BRAND')]
ваниль айди	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
шарлиз с дже	[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 12, 'O')]
пельмениы	[(0, 9, 'B-TYPE')]
чистая линия	[(0, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
креветкм	[(0, 8, 'B-TYPE')]
лаврвый	[(0, 7, 'B-TYPE')]
крахпал	[(0, 7, 'B-TYPE')]
зехфир	[(0, 6, 'B-TYPE')]
сдайсы	[(0, 6, 'B-TYPE')]
сгщенкп	[(0, 7, 'B-TYPE')]
картофеля vic	[(0, 9, 'B-TYPE'), (10, 13, 'B-BRAND')]
котлыты	[(0, 7, 'B-TYPE')]
салат романо	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
морковь.	[(0, 8, 'B-TYPE')]
сельди слабосоленой	[(0, 6, 'B-TYPE'), (7, 19, 'I-TYPE')]
снэки marc&фи	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
газировоная	[(0, 11, 'B-TYPE')]
лммонад	[(0, 7, 'B-TYPE')]
птица охлажденн	[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]
рис бальдо	[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]
интимное	[(0, 8, 'B-TYPE')]
коктельные	[(0, 10, 'B-TYPE')]
книги	[(0, 5, 'B-TYPE')]
огурцы	[(0, 6, 'B-TYPE')]
йогурт с ш	[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 10, 'O')]
лаваши атру	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
семена naturfood	[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
кукуру9а	[(0, 8, 'B-TYPE')]
очсититель	[(0, 10, 'B-TYPE')]
брынза тенде	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
пионы	[(0, 5, 'B-TYPE')]
плавки lowr	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
рольтон	[(0, 7, 'B-TYPE')]
томаты розовые	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
тортилл	[(0, 7, 'B-TYPE')]
плоскошлифовальная машина	[(0, 18, 'B-TYPE'), (19, 25, 'I-TYPE')]
альбомо	[(0, 7, 'B-TYPE')]
сапожки ev	[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]
конфеты шоколадн	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
торелка с крышкой	[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
прмидоры	[(0, 8, 'B-TYPE')]
плоскогубц	[(0, 10, 'B-TYPE')]
эенергетик	[(0, 10, 'B-TYPE')]
ваттушка	[(0, 8, 'B-TYPE')]
фруто няня био	[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'O')]
мороженле	[(0, 9, 'B-TYPE')]
карп тендер	[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND')]
медо	[(0, 4, 'B-TYPE')]
тортилтия	[(0, 9, 'B-TYPE')]
куроп	[(0, 5, 'B-TYPE')]
гречка селяночка	[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]
кекс свердловский	[(0, 4, 'B-TYPE'), (5, 17, 'I-TYPE')]
календрь	[(0, 8, 'B-TYPE')]
мондарин	[(0, 8, 'B-TYPE')]
конференци	[(0, 10, 'B-TYPE')]
пшено ангстрем	[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
дражде	[(0, 6, 'B-TYPE')]
муровейеик	[(0, 10, 'B-TYPE')]
нарезка из индейки	[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
фрутоеянч	[(0, 9, 'B-TYPE')]
тпяпки	[(0, 6, 'B-TYPE')]
грилем un	[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
конферты	[(0, 8, 'B-TYPE')]
кофе молоты	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
сок сады придонья	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 17, 'I-BRAND')]
минеральный	[(0, 11, 'B-TYPE')]
круассанц	[(0, 9, 'B-TYPE')]
изю	[(0, 3, 'B-TYPE')]
творож агу	[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
danke совк	[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
сальтисон	[(0, 9, 'B-TYPE')]
носки ким	[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
суш	[(0, 3, 'B-TYPE')]
крекер тук ер	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 13, 'O')]
перекресток охлажденны	[(0, 11, 'B-BRAND'), (12, 22, 'B-TYPE')]
молоко му	[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
морковка тендер	[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]
желлудки	[(0, 8, 'B-TYPE')]
гамаки	[(0, 6, 'B-TYPE')]
холодн	[(0, 6, 'B-TYPE')]
периферийные устройства	[(0, 12, 'B-TYPE'), (13, 23, 'I-TYPE')]
голубсы	[(0, 7, 'B-TYPE')]
панамы призер	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
alte	[(0, 4, 'B-BRAND')]
чупа чупс со жвачкой	[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE'), (10, 12, 'O'), (13, 20, 'O')]
юбийное	[(0, 7, 'B-TYPE')]
баклажаны	[(0, 9, 'B-TYPE')]
видеоиг	[(0, 7, 'B-TYPE')]
палочки ol	[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]
пятновыводители biomi	[(0, 15, 'B-TYPE'), (16, 21, 'B-BRAND')]
картофель вареный	[(0, 9, 'B-TYPE'), (10, 17, 'I-TYPE')]
пудинги сжк	[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
холодногр	[(0, 9, 'B-TYPE')]
тортниц	[(0, 7, 'B-TYPE')]
пастилкша	[(0, 9, 'B-TYPE')]
голубцы скиф	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
листы для суши	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O')]
эптр	[(0, 4, 'O')]
клубника, земляник	[(0, 9, 'B-TYPE'), (10, 18, 'I-TYPE')]
сернослив	[(0, 9, 'B-TYPE')]
ппотеино	[(0, 8, 'B-TYPE')]
рис плов	[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]
рибы	[(0, 4, 'B-TYPE')]
ванильные	[(0, 9, 'B-TYPE')]
балончик	[(0, 8, 'B-TYPE')]
простыня jard	[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
осетрина	[(0, 8, 'B-TYPE')]
jardin	[(0, 6, 'B-BRAND')]
йокурт	[(0, 6, 'B-TYPE')]
планировщик	[(0, 11, 'B-TYPE')]
бульен	[(0, 6, 'B-TYPE')]
туатет	[(0, 6, 'B-TYPE')]
консервы для собак	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
овощной пю	[(0, 7, 'B-TYPE'), (8, 10, 'I-TYPE')]
мини-рул	[(0, 8, 'B-TYPE')]
лимон	[(0, 5, 'B-TYPE')]
сметена	[(0, 7, 'B-TYPE')]
кофейник talle	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
минидуовки	[(0, 10, 'B-TYPE')]
рыба минтай	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
сок сады придонтя	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 17, 'I-BRAND')]
маршмелу	[(0, 8, 'B-TYPE')]
овощн	[(0, 5, 'B-TYPE')]
юкапуста	[(0, 8, 'B-TYPE')]
exponenra	[(0, 9, 'B-BRAND')]
биолакиь	[(0, 8, 'B-TYPE')]
от засора труб	[(0, 2, 'O'), (3, 9, 'O'), (10, 14, 'O')]
заготовки для пиццы	[(0, 9, 'B-TYPE'), (10, 13, 'O'), (14, 19, 'O')]
имбиря sonnent	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
сардельки доронич	[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
леденнц	[(0, 7, 'B-TYPE')]
погремушек бимбо	[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
овощи0	[(0, 6, 'B-TYPE')]
mif календар	[(0, 3, 'B-BRAND'), (4, 12, 'B-TYPE')]
творог мягкий	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
ийонурт	[(0, 7, 'B-TYPE')]
