sample;annotation
саше greenfield;[(0, 4, 'B-TYPE'), (5, 15, 'B-BRAND')]
саше son;[(0, 4, 'B-TYPE'), (5, 8, 'B-BRAND')]
саше sonno;[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]
сбсолют;[(0, 7, 'B-TYPE')]
свас;[(0, 4, 'B-TYPE')]
сввекла;[(0, 7, 'B-TYPE')]
свитеры, пуловер;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
свйонез;[(0, 7, 'B-TYPE')]
свкечи;[(0, 6, 'B-TYPE')]
сгкщенк;[(0, 7, 'B-TYPE')]
сгкщенка;[(0, 8, 'B-TYPE')]
сгкщеное;[(0, 8, 'B-TYPE')]
сгёны;[(0, 5, 'B-TYPE')]
сдайсы;[(0, 6, 'B-TYPE')]
сдивки;[(0, 6, 'B-TYPE')]
севок;[(0, 5, 'B-TYPE')]
сегдвич;[(0, 7, 'B-TYPE')]
селд;[(0, 4, 'O')]
сенгвичи;[(0, 8, 'B-TYPE')]
сендвиви;[(0, 8, 'B-TYPE')]
сендвис;[(0, 7, 'B-TYPE')]
сендвич с индейской;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 19, 'O')]
сендвич с кетой;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
сендвичз;[(0, 8, 'B-TYPE')]
сендвичный;[(0, 10, 'B-TYPE')]
сендвичь;[(0, 8, 'B-TYPE')]
сендвочи;[(0, 8, 'B-TYPE')]
сендвчи;[(0, 7, 'B-TYPE')]
сенечки;[(0, 7, 'B-TYPE')]
сенквич;[(0, 7, 'B-TYPE')]
сенлвич;[(0, 7, 'B-TYPE')]
сенсити;[(0, 7, 'B-TYPE')]
сепечки;[(0, 7, 'B-TYPE')]
сепнчки;[(0, 7, 'B-TYPE')]
сеснок;[(0, 6, 'B-TYPE')]
сеснокт;[(0, 7, 'B-TYPE')]
сечевица;[(0, 8, 'B-TYPE')]
сешки для мусара;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
сибколбасы;[(0, 10, 'B-BRAND')]
сииральный;[(0, 10, 'B-TYPE')]
сиитаки;[(0, 7, 'B-TYPE')]
синергетик;[(0, 10, 'B-TYPE')]
ситно кумы;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
ситно кумыс;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
скмбрия;[(0, 7, 'B-TYPE')]
ско;[(0, 3, 'B-TYPE')]
скола;[(0, 5, 'B-TYPE')]
скпебки;[(0, 7, 'B-TYPE')]
скхарозаменитель;[(0, 16, 'B-TYPE')]
славянский сам;[(0, 10, 'B-BRAND'), (11, 14, 'O')]
слада ир;[(0, 5, 'B-BRAND'), (6, 8, 'B-TYPE')]
сладуница ир;[(0, 9, 'B-BRAND'), (10, 12, 'B-TYPE')]
слики схе;[(0, 5, 'O'), (6, 9, 'O')]
слк;[(0, 3, 'B-TYPE')]
слмвушк;[(0, 7, 'B-TYPE')]
слпирожное;[(0, 10, 'B-TYPE')]
смктана;[(0, 7, 'B-TYPE')]
смкюетана;[(0, 9, 'B-TYPE')]
смона;[(0, 5, 'O')]
смэтана;[(0, 7, 'B-TYPE')]
снущенное;[(0, 9, 'B-TYPE')]
снущеное;[(0, 8, 'B-TYPE')]
сова;[(0, 4, 'B-TYPE')]
совк;[(0, 4, 'B-TYPE')]
совка;[(0, 5, 'B-TYPE')]
совка sv;[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND')]
совка svi;[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
совка svip;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
совки;[(0, 5, 'B-TYPE')]
совко;[(0, 5, 'B-TYPE')]
совком;[(0, 6, 'B-TYPE')]
совком vile;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
совком viled;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
совком vileda;[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
сово;[(0, 4, 'B-TYPE')]
совок atmosphe;[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
совок atmospher;[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]
совок atmosphere;[(0, 5, 'B-TYPE'), (6, 16, 'B-BRAND')]
согурец;[(0, 7, 'B-TYPE')]
соду;[(0, 4, 'B-TYPE')]
сокс;[(0, 4, 'B-BRAND')]
сокщенка;[(0, 8, 'B-TYPE')]
сон;[(0, 3, 'B-TYPE')]
сонуборд;[(0, 8, 'B-TYPE')]
сорс;[(0, 4, 'B-TYPE')]
софарш;[(0, 6, 'B-TYPE')]
соцебели;[(0, 8, 'B-TYPE')]
соьакам;[(0, 7, 'B-TYPE')]
сплат;[(0, 5, 'B-BRAND')]
спмечки;[(0, 7, 'B-TYPE')]
сппгетти;[(0, 8, 'B-TYPE')]
срочно саше;[(0, 6, 'O'), (7, 11, 'B-TYPE')]
ссиски;[(0, 6, 'B-TYPE')]
сск;[(0, 3, 'O')]
ссок;[(0, 4, 'B-TYPE')]
ссушки;[(0, 6, 'B-TYPE')]
стагетти;[(0, 8, 'B-TYPE')]
степь н;[(0, 5, 'B-BRAND'), (6, 7, 'B-TYPE')]
сткао;[(0, 5, 'O')]
стнец;[(0, 5, 'B-TYPE')]
стров;[(0, 5, 'O')]
стртак;[(0, 6, 'B-TYPE')]
сультифрцкт;[(0, 11, 'B-TYPE')]
суьугуни;[(0, 8, 'B-TYPE')]
схущенка;[(0, 8, 'B-TYPE')]
сыж;[(0, 3, 'B-TYPE')]
сыло;[(0, 4, 'B-TYPE')]
сыо+;[(0, 4, 'B-TYPE')]
сып;[(0, 3, 'B-TYPE')]
сыпок;[(0, 5, 'B-TYPE')]
сытн;[(0, 4, 'B-TYPE')]
сытна;[(0, 5, 'B-TYPE')]
сытная;[(0, 6, 'B-TYPE')]
сытник;[(0, 6, 'B-TYPE')]
сэедвич;[(0, 7, 'B-TYPE')]
сэмени;[(0, 6, 'B-TYPE')]
тавлетка;[(0, 8, 'B-TYPE')]
таворог;[(0, 7, 'B-TYPE')]
тавр шпи;[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE')]
тавр шпик;[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
таврия шпи;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
таврия шпик;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
тайфун;[(0, 6, 'B-TYPE')]
талица;[(0, 6, 'B-TYPE')]
талицы;[(0, 6, 'B-TYPE')]
талка;[(0, 5, 'B-TYPE')]
талкушка;[(0, 8, 'B-TYPE')]
талрожки;[(0, 8, 'B-TYPE')]
талрожок;[(0, 8, 'B-TYPE')]
талстовки;[(0, 9, 'B-TYPE')]
тальяте;[(0, 7, 'B-TYPE')]
таптыжка;[(0, 8, 'B-TYPE')]
тбатое;[(0, 6, 'B-TYPE')]
тваорог;[(0, 7, 'B-TYPE')]
тваорожок;[(0, 9, 'B-TYPE')]
тварог;[(0, 6, 'B-TYPE')]
тварожни;[(0, 8, 'B-TYPE')]
тварок;[(0, 6, 'B-TYPE')]
тврталетки;[(0, 10, 'B-TYPE')]
тебе саке;[(0, 4, 'O'), (5, 9, 'B-TYPE')]
тебе темп;[(0, 4, 'O'), (5, 9, 'B-BRAND')]
теияки;[(0, 6, 'B-TYPE')]
телятин мороженне;[(0, 7, 'O'), (8, 17, 'O')]
темп;[(0, 4, 'B-TYPE')]
темп шпикач;[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]
темп шпикачк;[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE')]
темпура;[(0, 7, 'B-TYPE')]
тендер шпинат;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
тендер шпината;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
термопакет;[(0, 10, 'B-TYPE')]
терн;[(0, 4, 'B-TYPE')]
течто;[(0, 5, 'B-TYPE')]
тешонка;[(0, 7, 'B-TYPE')]
тиква;[(0, 5, 'B-TYPE')]
тйгурт;[(0, 6, 'B-TYPE')]
ткрияке;[(0, 7, 'B-TYPE')]
ткрияки;[(0, 7, 'B-TYPE')]
тлц;[(0, 3, 'O')]
то5ик;[(0, 5, 'B-TYPE')]
тобеливатель;[(0, 12, 'B-TYPE')]
тонометы,ерометы;[(0, 16, 'O')]
топинг;[(0, 6, 'B-TYPE')]
топинги;[(0, 7, 'B-TYPE')]
торелка с крышкой;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
тотаты;[(0, 6, 'B-TYPE')]
тоубочка;[(0, 8, 'B-TYPE')]
тофу;[(0, 4, 'B-TYPE')]
трпка;[(0, 5, 'B-TYPE')]
тселька;[(0, 7, 'B-TYPE')]
тулет;[(0, 5, 'B-TYPE')]
тулетна;[(0, 7, 'B-TYPE')]
тулетная;[(0, 8, 'B-TYPE')]
тулеьная;[(0, 8, 'B-TYPE')]
тумбы;[(0, 5, 'B-TYPE')]
туристический;[(0, 13, 'B-TYPE')]
тущеная;[(0, 7, 'B-TYPE')]
тущенка;[(0, 7, 'B-TYPE')]
тущеное;[(0, 7, 'B-TYPE')]
тущка;[(0, 5, 'B-TYPE')]
тшенка;[(0, 6, 'B-TYPE')]
тынец;[(0, 5, 'B-TYPE')]
тяв;[(0, 3, 'O')]
тянучка;[(0, 7, 'B-TYPE')]
тяпка;[(0, 5, 'B-TYPE')]
удаление ск;[(0, 8, 'B-TYPE'), (9, 11, 'I-TYPE')]
удаление ско;[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE')]
удаление скоб;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
удитка;[(0, 6, 'B-TYPE')]
удобреия, подкорма;[(0, 9, 'O'), (10, 18, 'O')]
уефир;[(0, 5, 'B-TYPE')]
уйогурт;[(0, 7, 'B-TYPE')]
укзуса;[(0, 6, 'B-TYPE')]
укумы;[(0, 5, 'B-TYPE')]
уленые;[(0, 6, 'O')]
унитаз;[(0, 6, 'B-TYPE')]
уортошка;[(0, 8, 'B-TYPE')]
усксус;[(0, 6, 'B-TYPE')]
ускус;[(0, 5, 'B-TYPE')]
услада козина;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
услада козинак;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
услада козинаки;[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
ути;[(0, 3, 'B-TYPE')]
уткорий;[(0, 7, 'B-TYPE')]
уукроп;[(0, 6, 'B-TYPE')]
уукурузные;[(0, 10, 'B-TYPE')]
уыпленок;[(0, 8, 'B-TYPE')]
фамны;[(0, 5, 'O')]
фампиньоны;[(0, 10, 'B-TYPE')]
фанагория брен;[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE')]
фанагория бренд;[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
фанагория бренди;[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]
фанта;[(0, 5, 'B-BRAND')]
фар8;[(0, 4, 'B-TYPE')]
фварш;[(0, 5, 'B-TYPE')]
фетакс;[(0, 6, 'B-BRAND')]
фетакса;[(0, 7, 'B-BRAND')]
фито;[(0, 4, 'B-TYPE')]
фичташки;[(0, 8, 'B-TYPE')]
фкартофель;[(0, 10, 'B-TYPE')]
фломенко;[(0, 8, 'B-TYPE')]
фода;[(0, 4, 'B-TYPE')]
фокгурт;[(0, 7, 'B-TYPE')]
фонели;[(0, 6, 'B-TYPE')]
форнакс;[(0, 7, 'B-BRAND')]
фритюрница;[(0, 10, 'B-TYPE')]
фритюрницы;[(0, 10, 'B-TYPE')]
фрруто;[(0, 6, 'B-TYPE')]
фруктвя смсь;[(0, 7, 'O'), (8, 12, 'O')]
фумигатор;[(0, 9, 'B-TYPE')]
фумихатор;[(0, 9, 'B-TYPE')]
фхруто;[(0, 6, 'B-TYPE')]
фэйри;[(0, 5, 'B-BRAND')]
фэри;[(0, 4, 'B-BRAND')]
хажарка;[(0, 7, 'B-TYPE')]
хбатон;[(0, 6, 'B-TYPE')]
хвостеры;[(0, 8, 'B-TYPE')]
хдопья;[(0, 6, 'B-TYPE')]
хеб;[(0, 3, 'B-TYPE')]
хелб;[(0, 4, 'B-TYPE')]
хелеб;[(0, 5, 'B-TYPE')]
хл5б;[(0, 4, 'B-TYPE')]
хлкбцы;[(0, 6, 'B-TYPE')]
хлкеб;[(0, 5, 'B-TYPE')]
хлнб;[(0, 4, 'B-TYPE')]
хлнбец;[(0, 6, 'B-TYPE')]
хлнбцы;[(0, 6, 'B-TYPE')]
хлнеб;[(0, 5, 'B-TYPE')]
хлёб;[(0, 4, 'B-TYPE')]
хокстеры;[(0, 8, 'B-TYPE')]
холбаса;[(0, 7, 'B-TYPE')]
холс;[(0, 4, 'B-BRAND')]
хомплекты;[(0, 9, 'B-TYPE')]
хочапури;[(0, 8, 'B-TYPE')]
хрусстим;[(0, 8, 'B-TYPE')]
хсосиски;[(0, 8, 'B-TYPE')]
хумусс;[(0, 6, 'B-TYPE')]
хумусч;[(0, 6, 'B-TYPE')]
хупальники;[(0, 10, 'B-TYPE')]
ххалва;[(0, 6, 'B-TYPE')]
цаетная;[(0, 7, 'B-TYPE')]
царский;[(0, 7, 'B-BRAND')]
цвт;[(0, 3, 'O')]
циекорий;[(0, 8, 'B-TYPE')]
циклрий;[(0, 7, 'B-TYPE')]
цико;[(0, 4, 'B-BRAND')]
цикории;[(0, 7, 'B-TYPE')]
цикорий;[(0, 7, 'B-TYPE')]
цикорий вкус&польз;[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND')]
цикорий пр!;[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
цикорий пр!с;[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
цикорий пр!ст;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
цикориц;[(0, 7, 'B-TYPE')]
цикорич;[(0, 7, 'B-TYPE')]
цикорич леов;[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
цикория;[(0, 7, 'B-TYPE')]
цикорй;[(0, 6, 'B-TYPE')]
цикоррий;[(0, 8, 'B-TYPE')]
цикорый;[(0, 7, 'B-TYPE')]
цкиорий;[(0, 7, 'B-TYPE')]
цукат;[(0, 5, 'B-TYPE')]
цукаты;[(0, 6, 'B-TYPE')]
ч а;[(0, 1, 'O'), (2, 3, 'O')]
ч5рноголовка;[(0, 12, 'B-TYPE')]
чабатта;[(0, 7, 'B-TYPE')]
чаг;[(0, 3, 'B-TYPE')]
чаеи;[(0, 4, 'B-TYPE')]
чаше;[(0, 4, 'B-TYPE')]
чашек reme;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
чашек remec;[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
чашек typhoo;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
чашек typhoon;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
чашк;[(0, 4, 'B-TYPE')]
чашка;[(0, 5, 'B-TYPE')]
чашка nouvel;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
чашки domen;[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
чашки domeni;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
чашки domenik;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
чашки nad;[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
чашки nadi;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
чашки nadin;[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
чашки nouvel;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
чашки nouvell;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
чашки nouvelle;[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
чашки shenzhe;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
чашки vites;[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
чашки vitess;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
чашки vitesse;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
чашкк;[(0, 5, 'B-TYPE')]
чашхи;[(0, 5, 'B-TYPE')]
чекупила;[(0, 8, 'B-TYPE')]
чеонослив;[(0, 9, 'B-TYPE')]
черкизово шпикачк;[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]
чеьурек;[(0, 7, 'B-TYPE')]
чеьуреки;[(0, 8, 'B-TYPE')]
чизбург;[(0, 7, 'B-BRAND')]
чиртаки;[(0, 7, 'B-TYPE')]
чистин;[(0, 6, 'B-BRAND')]
чистя иия;[(0, 5, 'O'), (6, 9, 'O')]
чкрвички;[(0, 8, 'B-TYPE')]
чоснок;[(0, 6, 'B-TYPE')]
чпй с бергамотом;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 16, 'O')]
чпк;[(0, 3, 'B-TYPE')]
чсосиски;[(0, 8, 'B-TYPE')]
чуг;[(0, 3, 'B-TYPE')]
чухарики;[(0, 8, 'B-TYPE')]
чытник;[(0, 6, 'B-TYPE')]
чяйц;[(0, 4, 'B-TYPE')]
шатры;[(0, 5, 'B-TYPE')]
шатры ec;[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND')]
шатры eco;[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
шатры ecos;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
шатыр;[(0, 5, 'B-TYPE')]
шмпиньоны;[(0, 9, 'B-TYPE')]
шоаолад;[(0, 7, 'B-TYPE')]
шобулка;[(0, 7, 'B-TYPE')]
шошлык;[(0, 6, 'B-TYPE')]
шпагки;[(0, 6, 'B-TYPE')]
шпажка;[(0, 6, 'B-TYPE')]
шпажки;[(0, 6, 'B-TYPE')]
шпек;[(0, 4, 'B-TYPE')]
шпиг;[(0, 4, 'B-TYPE')]
шпиеат;[(0, 6, 'B-TYPE')]
шпик;[(0, 4, 'B-TYPE')]
шпик останки;[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]
шпик останкин;[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND')]
шпик останкино;[(0, 4, 'B-TYPE'), (5, 14, 'B-BRAND')]
шпик рамф;[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND')]
шпика;[(0, 5, 'B-TYPE')]
шпикач;[(0, 6, 'B-TYPE')]
шпикачи;[(0, 7, 'B-TYPE')]
шпикачки;[(0, 8, 'B-TYPE')]
шпикачки вмк;[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
шпикачки йо;[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
шпикачки йол;[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
шпикачки останкинск;[(0, 8, 'B-TYPE'), (9, 19, 'B-BRAND')]
шпикачки останкинский;[(0, 8, 'B-TYPE'), (9, 21, 'B-BRAND')]
шпикачки ца;[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
шпикачки цар;[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
шпикачки царь;[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
шпикачки  клинск;[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]
шпикачки  клински;[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
шпикачки  клинский;[(0, 9, 'B-TYPE'), (10, 18, 'B-BRAND')]
шпикачки  окраи;[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]
шпикачки  окраина;[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
шпикачки  черкаши;[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
шпикачки  черкашин;[(0, 9, 'B-TYPE'), (10, 18, 'B-BRAND')]
шпикачкт;[(0, 8, 'B-TYPE')]
шпикачмки;[(0, 9, 'B-TYPE')]
шпикачхи;[(0, 8, 'B-TYPE')]
шпиком;[(0, 6, 'B-TYPE')]
шпин;[(0, 4, 'B-TYPE')]
шпина;[(0, 5, 'B-TYPE')]
шпинад;[(0, 6, 'B-TYPE')]
шпинаи;[(0, 6, 'B-TYPE')]
шпинана;[(0, 7, 'B-TYPE')]
шпинат;[(0, 6, 'B-TYPE')]
шпината;[(0, 7, 'B-TYPE')]
шпинвт;[(0, 6, 'B-TYPE')]
шпинт;[(0, 5, 'B-TYPE')]
шпитаг;[(0, 6, 'B-TYPE')]
шренки;[(0, 6, 'B-TYPE')]
шрколад;[(0, 7, 'B-TYPE')]
шрколад без сахара;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
шрколадка;[(0, 9, 'B-TYPE')]
шрколадки;[(0, 9, 'B-TYPE')]
шрколадку;[(0, 9, 'B-TYPE')]
шркрлад;[(0, 7, 'B-TYPE')]
шшоколад;[(0, 8, 'B-TYPE')]
шыколад;[(0, 7, 'B-TYPE')]
щерница;[(0, 7, 'B-TYPE')]
щеяка;[(0, 5, 'B-TYPE')]
щницел;[(0, 6, 'B-TYPE')]
щницель;[(0, 7, 'B-TYPE')]
щоколадка;[(0, 9, 'B-TYPE')]
щоколадки;[(0, 9, 'B-TYPE')]
щоколадная;[(0, 10, 'B-TYPE')]
щтка;[(0, 4, 'B-TYPE')]
щупальца;[(0, 8, 'B-TYPE')]
ыигурный;[(0, 8, 'B-TYPE')]
ыиники;[(0, 6, 'B-TYPE')]
ырок;[(0, 4, 'B-TYPE')]
ьедро;[(0, 5, 'B-TYPE')]
ьумага;[(0, 6, 'B-TYPE')]
ьыква;[(0, 5, 'B-TYPE')]
эгрибы;[(0, 6, 'B-TYPE')]
эенергетик;[(0, 10, 'B-TYPE')]
эенеретик;[(0, 9, 'B-TYPE')]
экукуруза;[(0, 9, 'B-TYPE')]
эл;[(0, 2, 'O')]
элериесой;[(0, 9, 'O')]
эльнергетик;[(0, 11, 'B-TYPE')]
энаргетик;[(0, 9, 'B-TYPE')]
эпика;[(0, 5, 'B-BRAND')]
эсироп;[(0, 6, 'B-TYPE')]
эссе;[(0, 4, 'B-TYPE')]
юблоки;[(0, 6, 'B-TYPE')]
юнанди;[(0, 6, 'O')]
юпомидор;[(0, 8, 'B-TYPE')]
юпомидоры;[(0, 9, 'B-TYPE')]
юулоска с маком;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
юульон;[(0, 6, 'B-TYPE')]
ябюлоки;[(0, 7, 'B-TYPE')]
яетакса;[(0, 7, 'B-TYPE')]
яецо;[(0, 4, 'B-TYPE')]
яий;[(0, 3, 'B-TYPE')]
яийца;[(0, 5, 'B-TYPE')]
яицв;[(0, 4, 'B-TYPE')]
яицр;[(0, 4, 'B-TYPE')]
яичк;[(0, 4, 'B-TYPE')]
яищо;[(0, 4, 'B-TYPE')]
яйа;[(0, 3, 'B-TYPE')]
яйаца;[(0, 5, 'B-TYPE')]
яйки;[(0, 4, 'B-TYPE')]
яйн;[(0, 3, 'B-TYPE')]
яйо;[(0, 3, 'B-TYPE')]
яйог;[(0, 4, 'B-TYPE')]
яйогурт;[(0, 7, 'B-TYPE')]
яйоца;[(0, 5, 'B-TYPE')]
яйр;[(0, 3, 'B-TYPE')]
яйран;[(0, 5, 'B-TYPE')]
яйфа;[(0, 4, 'B-TYPE')]
яйц0;[(0, 4, 'B-TYPE')]
яйчк;[(0, 4, 'B-TYPE')]
ялбоко;[(0, 6, 'B-TYPE')]
янка;[(0, 4, 'O')]
яогирт;[(0, 6, 'B-TYPE')]
ярмарка н;[(0, 7, 'B-BRAND'), (8, 9, 'B-TYPE')]
ясаая;[(0, 5, 'O')]
яснева;[(0, 6, 'B-TYPE')]
яссоль;[(0, 6, 'B-TYPE')]
яся гор;[(0, 3, 'O'), (4, 7, 'O')]
ятца;[(0, 4, 'B-TYPE')]
яцц;[(0, 3, 'B-TYPE')]
ячеевая;[(0, 7, 'B-TYPE')]
яшоколад;[(0, 8, 'B-TYPE')]
яюколбаса со шпиком;[(0, 9, 'B-TYPE'), (10, 12, 'O'), (13, 19, 'O')]
